,poem_title,poem_url,poem_content
0,09,https://www.thivien.net/Nguy%E1%BB%85n-Ng%E1%BB%8Dc-O%C3%A1nh/09/poem-bhaOCpA37q6AXX3W9-picw,"Gió về, cây vật vã
Em đi, anh lạc đường"
1,09,https://www.thivien.net/Tr%E1%BB%A5-V%C5%A9/09/poem-ewAuwwBn8rjSiTjCwpEZIA,"Một thoáng sát na ơi
Trong em thoáng nụ cười
Trong anh thoáng hạt lệ
Long lanh chín dặm trời"
2,1,https://www.thivien.net/Nguy%E1%BB%85n-Bao/1/poem-8_2gKKpSxKu4ObM44GiyQw,"Cùng quây quần lại đây
Nào các em miền xuôi
Nào các em miền ngược
Nghe anh kể chuyện này
Chuyện tổ tiên dựng nước

Có em nào biết được
Vì sao trên đất này
Rừng hoang thành biển lúa
Vàng tít tắp hôm nay?
Bãi lầy thành đồng muối
Trắng xoá tận chân mây?

Có em nào biết được
Trải bao đời dựng xây
Bao lớp người thuở trước
Cùng góp sức chung tay?
Chuyện kể dài đấy nhé
Thôi, ta bắt đầu ngay!"
3,10,https://www.thivien.net/Nguy%E1%BB%85n-Ng%E1%BB%8Dc-O%C3%A1nh/10/poem-Q44Pi0kZz9OJQKTv-BMxBA,"Run run ve lột xác
Màu nhạc mới cựa mình"
4,10,https://www.thivien.net/Tr%E1%BB%A5-V%C5%A9/10/poem-DoTGn2PssAgZSvO9pURoTw,"Một thoáng - là không thực
Do thế - tròn cung bực
Cấi một thoáng vô cùng
Ấm mười phương Tứ Đức"
5,106-110,https://www.thivien.net/H%C3%A0-V%C4%83n-K%E1%BB%B3/106-110/poem-HLXqsf1hkTgjxOJrvdzlew,"106
Tình nhân nửa cánh hoa mai
Gió mang theo đến bên đài vọng lâu
Lệ xanh giổ giấc đêm thâu
Hoa mai còn đó người đâu chẳng về

107
Chiều tà tuyết rãi bên sông
Thuyền ai đứng ngóng đợi chờ trăng lên
Lệ xanh giỏ chút sầu riêng
Ếch kêu vẳng tiếng nửa miền hư không

108
Chiều tà gió thổi nửa cành mai
Bóng quạ bên sương thả chiếc hài
Lệ đổ rêu xanh dày cỏ mọc
Hài nằm chờ mãi bước chân ai

109
Gió tạc thổi sầu bay tám hướng
Ướp sầu bằng nửa cánh hoa mai
Lệ ai xanh ướt trang đài
Thuyền quyên đứng lặng xiêm dài áo bay

110
Thu tàn trong lá cây
Đời tàn trong ngõ hẹp
Tình tàn theo gió mây xanh
Đêm tàn cô quạnh bên mành lệ rơi"
6,12,https://www.thivien.net/Nguy%E1%BB%85n-Ng%E1%BB%8Dc-O%C3%A1nh/12/poem-EXkpxdCUnPllfboON3T-gw,"Rễ kiếm sống âm thầm
Ngọn cây đầm sương giá"
7,126-130,https://www.thivien.net/H%C3%A0-V%C4%83n-K%E1%BB%B3/126-130/poem-rQxj6Q_zoFiQNqS_gfouNw,"126
Niềm vui đứt nửa vầng mây
Cơn sầu đứt nửa chim gầy rạc hoa
Lệ rơi từng hạt châu sa
Xanh rơi từng mảnh trăng tà gió lay

12
Ếch nhảy bờ nước lạnh
Thuyền chìm giữa sông xanh
Lệ không rơi hạt đọng khô
Chim buồn ngóng mãi xa bờ nước trôi

128
Đời reo ngàn dặm nẻo đường
Ta lo tìm mãi một đường để đi
Lệ vùi trong đám cỏ thi
Lá xanh ngủ giấc xuân thì bỏ quên

129
Mang vạn cổ sầu hoa tuyết bay
Xanh tay rót chén nửa vầng mây
Nhật nguyệt đâu rồi ai có biết
Lệ đổ chân trời dế ngủ say

130
Thiên cổ mênh mang sầu tri kỹ
Ngàn đời gió vẫn thổi vườn khuya
Lệ mãi xanh rêu dài chiếc bóng
Trăng tà rải mãi bóng cô liêu"
8,13,https://www.thivien.net/Nguy%E1%BB%85n-Ng%E1%BB%8Dc-O%C3%A1nh/13/poem-AkIES4QkWXAZE9ywNZrmFg,"Tha hương giữa làng xóm
Đơn côi ngay nhà mình"
9,14,https://www.thivien.net/Nguy%E1%BB%85n-Ng%E1%BB%8Dc-O%C3%A1nh/14/poem-qs4oLi6iZo65_KCutxJR-w,"Sân thượng khóm hồng nở
Lưng trời trăng toả hương"
